id,league_id,season_id,venue_id,venue_city,venue_capacity,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_km,home_not_home,travel_outside_state,attendance_ratio,home_win,p_home_implied,p_draw_implied,p_away_implied
11867310,8,16036,12,Liverpool,40569,1,12.5,28,89,999,9,287,3.92,0,291,0,0,0.9678079321649536,0,0.5126124528013105,0.24925776095812047,0.23812978624056896
11937518,384,16415,7189,Roma,72698,1,22.7,49,54,1017,10,185,1.28,0,475,0,0,0.412666098104487,0,0.3738127512365582,0.28126191982366033,0.34492532893978145
11886113,82,16264,2172,Bremen,42100,1,15.0,88,77,1004,10,180,6.67,0,303,0,0,0.9844893111638956,0,0.4145144648830943,0.2663756249644704,0.31910991015243534
11886115,82,16264,302413,Düsseldorf,54600,1,13.0,75,99,1005,9,210,2.56,0,176,0,0,0.7446886446886447,0,0.36032033209611647,0.2667905754941126,0.3728890924097709
11886111,82,16264,2171,Leipzig,42558,1,15.0,27,82,1008,10,180,5.11,0,161,0,0,0.920672963955073,0,0.6138674410257245,0.22076918641848997,0.16536337255578554
11886116,82,16264,2165,Augsburg,30660,1,13.0,9,84,1011,10,130,4.03,0,56,0,0,1.0,0,0.049763213884542384,0.10427842847668518,0.8459583576387724
11886118,82,16264,420,Berlin,22012,1,15.6,27,78,1008,10,157,1.53,0,23,0,0,1.0,0,0.3625699583274635,0.28245844633887424,0.35497159533366224
11867315,8,16036,492,Wolverhampton,30852,1,11.8,61,78,1000,42,247,2.75,0,194,0,0,1.0,0,0.47734175198633283,0.2899097457447285,0.23274850226893867
11867314,8,16036,281313,London,62000,1,13.1,9,74,1001,44,246,5.78,0,24,0,0,0.9476451612903226,0,0.5969061426559584,0.23609998939558494,0.1669938679484567
11867311,8,16036,291285,Leicester,32312,1,12.4,70,71,1000,41,235,3.56,0,149,1,0,0.994986382768012,0,0.6442241413365428,0.21772538159424296,0.13805047706921417
11867307,8,16036,5,Birmingham,42682,1,11.3,43,84,1000,29,227,2.39,0,222,0,0,0.9799447073707886,0,0.40238576237635176,0.2785114924480101,0.3191027451756382
11867308,8,16036,321614,London,41798,1,13.0,4,78,1001,41,245,5.72,0,400,0,0,0.9692569022441264,0,0.7636902081983048,0.15852358658473428,0.0777862052169609
11895887,564,16326,140808,Madrid,67829,1,17.1,51,56,1007,25,199,4.89,0,297,0,0,0.9082103525040912,0,0.6192095710389358,0.2500755938445579,0.13071483511650622
11867306,8,16036,346,Bournemouth,11700,1,13.4,86,69,1002,59,269,3.22,0,302,1,0,0.9118803418803418,0,0.5469204492034468,0.22671816433079112,0.226361386465762
11868715,301,16043,6161,Décines-Charpieu,59186,1,19.6,45,75,1013,10,183,7.22,0,175,0,0,0.8186733349102828,0,0.6840093294465028,0.19352093900185163,0.12246973155164552
11937520,384,16415,134,Napoli,60240,1,21.5,23,67,1018,10,188,1.42,1,575,0,0,0.6421978751660027,0,0.7702282558422096,0.15166620102822514,0.07810554312956527
11886110,82,16264,2166,Dortmund,81365,1,12.8,26,93,1006,10,217,1.28,1,82,0,0,1.0,0,0.6142653544186805,0.2130885495502574,0.17264609603106204
11895890,564,16326,9351,Getafe,17393,1,16.8,55,68,1006,10,200,4.17,0,4,0,0,0.7484620249525671,0,0.4388312824476924,0.3306162858442477,0.23055243170805995
11867309,8,16036,201,London,25073,1,11.7,0,73,1002,10,228,2.5,1,273,0,0,1.0,1,0.07888019358728257,0.13653125059170265,0.7845885558210148
11868707,301,16043,394,Reims,21029,1,12.4,99,91,1006,20,182,0.22,1,625,0,0,0.5795330258214846,0,0.41893962293972703,0.3242002402548378,0.25686013680543524
11868708,301,16043,251,Angers,17835,1,13.3,14,88,1005,22,222,0.42,1,312,0,0,0.5813849172974488,1,0.5881622434665424,0.25225120583098776,0.15958655070246974
11868709,301,16043,2042,Longeville-lès-Metz,26661,1,13.3,100,92,1007,34,19,1.83,1,607,0,0,0.6201192753460111,0,0.3801357986116745,0.3122252972580401,0.3076389041302855
11868710,301,16043,18457,Toulouse,33150,1,19.2,0,66,1003,34,49,1.44,1,794,1,0,0.3703469079939668,0,0.28583034891955444,0.29207733917694173,0.42209231190350377
