id,result,league_id,season_id,venue_id,venue_city,attendance,venue_capacity,home_country_id,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_dist(km),colors_home_color,colors_away_color,home_not_home,travel_outside_state,attendance_ratio,season_name_codes
403132,2,564,853,9237,Granada,15883,23156,32,1,30.9,12,34,1010,19,203,1.78,0,676,RE,GRN,0,0,0.6859129383313181,0
403141,2,564,853,39,La Coruña,22309,34611,32,1,19.3,25,87,1020,10,1,0.06,1,442,BL,RE,0,0,0.6445638669787062,0
253286,1,301,765,51,Nice,31194,36178,17,1,24.7,88,53,1013,10,312,4.31,1,153,RE,BL,0,0,0.8622367184476754,0
299904,2,384,802,598,Pescara,21345,23800,251,1,21.0,50,88,1015,10,220,1.5,1,530,W,BL,0,0,0.8968487394957984,0
299914,1,384,802,7220,Empoli,7678,19847,251,1,26.4,0,51,1014,10,358,0.44,1,302,BL,GRN,0,0,0.3868594749836247,0
2566,2,8,13,212,Sunderland,42406,48707,462,1,19.3,71,81,1009,38,167,5.39,1,194,RE,W,0,0,0.8706346110415341,0
96728,1,82,219,1946,Cologne,47200,50000,11,1,17.3,56,71,1010,10,175,2.36,1,473,W,RE,0,0,0.944,0
403149,0,564,853,68,Sevilla,36090,60721,32,1,28.3,7,35,1016,10,47,0.22,1,213,GRN,RE,0,0,0.5943578004314817,0
299940,2,384,802,86,Genova,20000,36599,251,1,22.3,27,67,1015,10,243,1.69,1,119,BL,W,0,0,0.546463018115249,0
253297,2,301,765,633,Caen,740,21215,17,1,15.0,99,82,1020,10,280,6.22,1,197,BL,W,0,0,0.034880980438369076,0
2578,2,8,13,321614,London,41514,41798,462,1,15.7,10,67,1016,45,323,5.11,1,287,BL,RE,0,0,0.9932054165271066,0
403160,2,564,853,293,Leganés,10958,11454,32,1,21.0,10,43,1020,10,34,0.44,0,509,W,GRN,0,0,0.9566963506198708,0
96831,0,82,219,1618,Sinsheim,23295,30164,11,1,19.9,95,59,1017,10,278,1.19,0,380,BL,GRN,0,0,0.7722782124386686,0
96808,2,82,219,1610,Hamburg,52998,57000,11,1,21.0,89,65,1013,10,40,6.86,0,300,W,W,0,0,0.9297894736842105,0
96749,1,82,219,53,Munich,75000,75000,11,1,14.0,89,100,1000,8,250,7.69,0,59,RE,RE,0,0,1.0,0
96850,1,82,219,2169,Frankfurt am Main,43000,51500,11,1,21.0,88,52,1013,10,300,3.61,0,159,BL,W,0,0,0.8349514563106796,0
96783,1,82,219,2166,Dortmund,81360,81365,11,1,18.4,99,72,1014,10,320,1.89,0,2825,YE,BL,0,0,0.9999385485159467,0
2589,2,8,13,199,Hull,22536,25400,462,1,14.9,100,78,1022,15,27,3.75,0,244,RE,YE,0,0,0.887244094488189,0
2600,1,8,13,117,Leicester,31916,32312,462,1,15.5,100,73,1022,39,3,3.86,0,149,BL,BL,0,0,0.9877444912106957,0
2622,1,8,13,119,West Bromwich,22209,26445,462,1,16.6,78,67,1022,42,349,3.86,0,172,BL,RE,0,0,0.8398184912081679,0
2610,1,8,13,151,Manchester,54335,55097,462,1,16.9,26,64,1023,36,350,3.28,0,307,GRN,RE,0,0,0.9861698459081256,0
403171,1,564,853,5188,Madrid,45821,54960,32,1,22.5,35,40,1018,12,70,2.58,0,382,RE,RE,1,0,0.8337154294032023,0
253307,1,301,765,4451,Monaco,6000,18523,75285,1,14.5,42,79,1009,26,20,0.89,0,858,RE,BL,0,1,0.3239216109701452,0
299953,1,384,802,7189,Roma,10000,72698,251,1,23.0,49,66,1015,10,235,5.67,0,158,GRN,GRN,0,0,0.137555366034829,0
96871,1,82,219,180,Mönchengladbach,54014,54057,11,1,19.1,88,72,1009,10,333,4.06,0,269,W,BL,0,0,0.9992045433523873,0
403180,0,564,853,9242,Eibar,4265,7083,32,1,16.9,65,71,1010,10,327,4.58,0,709,BL,W,0,0,0.6021459833403925,0
2634,1,8,13,12,Liverpool,39074,40569,462,1,16.0,27,68,1014,10,301,4.53,0,171,BL,RE,0,0,0.963149202593113,0
253359,1,301,765,339996,Toulouse,12109,33150,17,1,18.1,93,49,1020,38,321,5.25,1,657,PU,RE,0,0,0.3652790346907994,0
253350,0,301,765,4478,Dijon,8336,16098,17,1,14.8,99,83,1017,26,307,3.58,1,214,RE,W,0,0,0.5178283016523791,0
253340,2,301,765,2081,Bordeaux,18129,42115,17,1,17.0,2,63,1022,32,347,2.72,1,286,BL,BL,0,0,0.43046420515255845,0
253329,1,301,765,6032,Lorient,8926,18110,17,0,16.5,7,66,1023,38,343,3.72,1,572,RE,W,0,0,0.4928768636112645,0
253317,0,301,765,2046,Tomblaine,17034,20087,17,1,17.8,0,65,1016,16,290,1.5,1,599,W,YE,0,0,0.8480111514910141,0
299963,1,384,802,134,Napoli,21083,60240,251,1,22.0,47,76,1014,10,211,2.0,1,471,RE,YE,0,0,0.34998339973439574,0
403190,1,564,853,1716,Las Palmas de Gran Canaria,18980,31250,32,1,25.0,20,71,1016,13,40,18.9,1,1407,YE,RE,0,0,0.60736,0
403200,0,564,853,56,Pamplona,14854,19800,32,1,13.9,44,88,1022,9,305,5.14,0,587,RE,RE,0,0,0.7502020202020202,0
299977,2,384,802,7224,Udine,15000,25000,251,1,15.6,88,91,1018,10,52,1.11,0,188,W,YE,0,0,0.6,0
2645,1,8,13,19,Watford,21118,22200,462,1,17.7,60,71,1021,36,356,2.44,0,239,YE,RE,0,0,0.9512612612612613,0
300021,0,384,802,142,Torino,18000,27994,251,1,16.8,60,75,1017,16,0,0.53,0,301,RE,W,0,0,0.642994927484461,0
253371,0,301,765,126,Montpellier,12272,22000,17,1,23.2,60,40,1014,47,315,6.94,0,273,BL,W,0,0,0.5578181818181818,0
300000,0,384,802,598,Pescara,1000,23800,251,1,23.0,50,68,1015,10,110,5.08,0,484,BL,PU,1,0,0.04201680672268908,0
